,Player,Game ID,Birds,Bonus cards,End-of-round goals,Eggs,Food on cards,Tucked cards,Nectar,Total,Expansion
0,Bonita,1,44,8,14.0,20,0,4.0,0.0,90.0,Original
1,Landon,1,39,0,13.0,19,0,6.0,0.0,77.0,Original
2,Marion,1,40,13,14.0,13,1,4.0,0.0,85.0,Original
3,Robena,2,43,18,15.0,24,2,5.0,0.0,107.0,Original
4,Dennis,2,40,16,18.0,32,0,5.0,0.0,111.0,Original
5,Bonita,2,54,13,15.0,33,0,4.0,0.0,119.0,Original
6,Marion,2,36,13,17.0,22,4,1.0,0.0,93.0,Original
7,Danette,2,35,6,15.0,27,3,6.0,0.0,92.0,Original
8,Lahoma,3,44,9,13.0,15,4,0.0,0.0,85.0,Original
9,Marion,3,46,16,17.0,13,0,3.0,0.0,95.0,Original
10,Bonita,3,30,10,15.0,28,0,7.0,0.0,90.0,Original
11,Marion,4,35,0,18.0,23,0,10.0,0.0,86.0,Original
12,Bonita,4,34,8,12.0,17,0,13.0,0.0,84.0,Original
13,Dennis,5,36,10,13.0,19,0,14.0,0.0,92.0,Original
14,Robena,5,29,10,16.0,16,0,5.0,0.0,76.0,Original
15,Bonita,5,28,5,11.0,25,0,13.0,0.0,82.0,Original
16,Danette,5,24,6,14.0,20,1,4.0,0.0,69.0,Original
17,Fidelia,6,41,4,6.0,13,0,5.0,0.0,69.0,Original
18,Marion,6,42,8,7.0,11,9,0.0,0.0,77.0,Original
19,Bonita,6,39,20,10.0,26,2,13.0,0.0,110.0,Original
20,Dennis,7,22,6,15.0,22,1,8.0,0.0,74.0,Original
21,Danette,7,41,3,19.0,7,3,1.0,0.0,74.0,Original
22,Marion,7,41,3,14.0,10,1,1.0,0.0,70.0,Original
23,Robena,7,33,7,17.0,20,0,0.0,0.0,77.0,Original
24,Bonita,7,36,5,13.0,10,6,10.0,0.0,80.0,Original
25,Robena,8,31,22,20.0,8,0,0.0,0.0,81.0,Original
26,Dennis,8,40,11,4.0,8,5,5.0,0.0,73.0,Original
27,Danette,8,30,4,2.0,12,1,11.0,0.0,60.0,Original
28,Marion,8,38,4,5.0,3,8,3.0,0.0,61.0,Original
29,Bonita,8,27,4,6.0,21,0,7.0,0.0,65.0,Original
30,Dennis,9,31,10,7.0,20,4,1.0,0.0,73.0,Original
